Category,Subcategory,NotificationTime,Status,NotificationTitle,Text
tips,Not Available,2025-09-25T04:55,unread,"Another day, another page!",The Perfect Week achievement is within reach. See your progress.
kindle_recommends,Not Available,2025-09-24T17:00,unread,Popular now on Amazon,"Read ""Lessons in Heartbreak"" a romance by Karla Sorensen."
tips,Not Available,2025-09-24T00:05,unread,"Way to go, goal setter! ",You just got closer to reaching your 2025 reading goal. Check your progress now.
kindle_recommends,Not Available,2025-09-23T17:00,unread,New for you,"A book by an author you follow, “Hot for Slayer” by Ali Hazelwood, was just released."
kindle_recommends,Not Available,2025-09-22T17:00,unread,Amazon Book Review - Editors' picks,Sharing some of our favorite books with you.
tips,Not Available,2025-09-22T07:00,unread,One month ago,"You read ""Daisy Jones & The Six: Reese's…"". Revisit your notes and highlights from the book."
tips,Not Available,2025-09-20T07:05,unread,You're on a reading streak! ,The Perfect Week achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-09-19T17:00,unread,Best new sci-fi & fantasy,"This month's best new reads, hand-picked by Amazon's Editors."
tips,Not Available,2025-09-19T15:00,unread,One year ago,"You highlighted ""unsatisfied. Me"". Revisit your notes and highlights."
kindle_recommends,Not Available,2025-09-18T15:00,unread,Today only! ,Earn 2x Kindle Points on Kindle books purchased on September 18.
tips,Not Available,2025-09-18T07:05,unread,"Another day, another page!",The Perfect Week achievement is within reach. See your progress.
tips,Not Available,2025-09-17T07:05,unread,Pages + persistence = perfection!,The Perfect Month achievement is within reach. See your progress.
kindle_recommends,Not Available,2025-09-16T08:46,unread,Editors' picks in Kindle Unlimited,Find your next favorite read today.
kindle_recommends,Not Available,2025-09-16T08:27,unread,New & notable reads,Explore exciting new arrivals in Kindle Unlimited.
kindle_recommends,Not Available,2025-09-16T04:00,unread,New Romance,"""No Knight"" by Donna Alam."
tips,Not Available,2025-09-16T00:05,unread,"Way to go, goal setter! ",You just got closer to reaching your 2025 reading goal. Check your progress now.
kindle_recommends,Not Available,2025-09-13T17:00,unread,Coming Soon for You,"A book by an author you follow, “Hot for Slayer” by Ali Hazelwood, is coming out soon."
tips,Not Available,2025-09-13T07:05,unread,Your Kindle badge of honor! ,"You collected the Gold Reader achievement, in the top 10% of Kindle readers. Tap to see."
kindle_recommends,Not Available,2025-09-12T17:00,unread,What to read next,"After you read ""Daisy Haites: The Great…,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-09-12T15:00,unread,Limited time,Earn 2x Kindle Points on Kindle books purchased on September 12-13.
tips,Not Available,2025-09-11T07:05,unread,"Another day, another page!",The Perfect Week achievement is within reach. See your progress.
kindle_recommends,Not Available,2025-09-10T17:00,unread,New for you,"A book by an author you follow, ""Wild Card"" by Elsie Silver, was just released."
kindle_recommends,Not Available,2025-09-10T08:07,unread,Last chance to borrow,Borrow these great reads before they leave.
tips,Not Available,2025-09-10T00:05,unread,"Way to go, goal setter! ",You just got closer to reaching your 2025 reading goal. Check your progress now.
kindle_recommends,Not Available,2025-09-09T18:00,unread,New Book Club Fiction,"""Young Fools"" by Liza Palmer"
kindle_recommends,Not Available,2025-09-06T17:00,unread,New for you in Kindle Unlimited,"A book by Brittany Cavallaro, an author you follow, is available to read with your membership."
kindle_recommends,Not Available,2025-09-06T17:00,unread,What to read next,"After you read “Daisy Haites,” try the next book in the series “Magnolia Parks.”"
tips,Not Available,2025-09-06T07:05,unread,You're on a reading streak! ,The Perfect Week achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-09-05T17:00,unread,New First Reads are here,"Exclusive books, early access, free with Prime."
tips,Not Available,2025-09-05T07:05,unread,"Seal the deal, you're almost there! ",You’re on your way to earning the Closer achievement.
kindle_recommends,Not Available,2025-09-04T17:00,unread,New Book Club Fiction,"""Both Things Are True"" by Kathleen Barber."
tips,Not Available,2025-09-04T04:15,unread,"Another day, another page!",The Perfect Week achievement is within reach. See your progress.
kindle_recommends,Not Available,2025-09-03T17:00,unread,Kindle deals await you,So. Many. Must reads. Now up to 50% off!
kindle_recommends,Not Available,2025-09-01T17:00,unread,What to read next,"After you read ""Between Never and Forever…,"" find a new book in your recommendations."
tips,Not Available,2025-09-01T07:05,unread,The Head Start achievement is yours!,"Keep reading to collect more achievements, tap to see."
tips,Not Available,2025-09-01T00:05,unread,"Way to go, goal setter! ",You just got closer to reaching your 2025 reading goal. Check your progress now.
kindle_recommends,Not Available,2025-08-31T07:00,unread,Still thinking about this book?,"""Nothing Feels Better: A single…"" by Brit Benson"
kindle_recommends,Not Available,2025-08-30T17:00,unread,What to read next,"After you read ""Say You'll Remember Me,"" find a new book in your recommendations."
tips,Not Available,2025-08-30T07:05,unread,You're on a reading streak! ,The Perfect Week achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-08-30T07:00,unread,New for you in Kindle Unlimited,Explore Romance titles just added to Kindle Unlimited
kindle_recommends,Not Available,2025-08-29T15:00,unread,Today only! ,Earn 2x Kindle Points on Kindle books purchased on August 29.
kindle_recommends,Not Available,2025-08-28T17:00,unread,What to read next,"After you read ""The Summer I Turned Pretty,"" find a new book in your recommendations."
tips,Not Available,2025-08-28T02:23,unread,"Another day, another page!",The Perfect Week achievement is within reach. See your progress.
kindle_recommends,Not Available,2025-08-27T17:00,unread,Last Chance,Don’t forget to choose your First Reads book this month.
kindle_recommends,Not Available,2025-08-26T23:00,unread,Listen with Kindle Unlimited,Explore popular audiobooks included with your membership. 
kindle_recommends,Not Available,2025-08-26T17:00,unread,What to read next,"After you read ""Retreat,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-08-26T17:00,Read,Read for Less,"Fill your library with top titles, now up to 50% off."
kindle_recommends,Not Available,2025-08-25T17:00,Read,What to read next,"After you read ""Daisy Jones & The Six: Reese's…,"" find a new book in your recommendations."
tips,Not Available,2025-08-25T17:00,Read,Your inside access pass!,Follow an author between Aug 25 and Sept 30 for the new Insider achievement.
kindle_recommends,Not Available,2025-08-24T17:00,Read,Recommended for you,"We thought you may like ""Cross Her Heart"" by Melinda Leigh."
your_account,Not Available,2025-08-24T11:08,Read,You hit 200 Kindle Points!,Redeem for a Kindle reward when you reach 300. See your points balance now.
tips,Not Available,2025-08-23T04:18,Read,You're on a reading streak! ,The Perfect Week achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-08-23T00:05,Read,Limited time,Earn 2x Kindle Points on Kindle books purchased August 22-23. Learn more. 
tips,Not Available,2025-08-23T00:05,Read,"Way to go, goal setter! ",You just got closer to reaching your 2025 reading goal. Check your progress now.
kindle_recommends,Not Available,2025-08-21T17:00,Read,Still thinking about this book?,"""The Summer I Turned Pretty"" by Jenny Han"
tips,Not Available,2025-08-21T03:42,Read,"Another day, another page!",The Perfect Week achievement is within reach. See your progress.
kindle_recommends,Not Available,2025-08-20T17:00,Read,Trending in First Reads,Early. So VIP. Get this month’s editors’ picks in Amazon First Reads.
tips,Not Available,2025-08-20T00:05,Read,Go for the gold!,You're on track to collect the Gold Reader achievement. See your progress.
kindle_recommends,Not Available,2025-08-19T17:00,Read,What to read next,"After you read “Unsteady: A Novel,” try the next book in the series “Unloved: A Novel (The Undone).”"
kindle_recommends,Not Available,2025-08-19T17:00,Read,Still thinking about this book?,"""Love & Other Killers"" by Brynne Weaver"
kindle_recommends,Not Available,2025-08-18T17:00,Read,Popular now on Amazon,"Read ""My Dark Fairy Tale” a romance by Giana Darling."
tips,Not Available,2025-08-17T02:47,Read,Keep up your reading streak,The Perfect Month achievement is within reach. See your progress.
kindle_recommends,Not Available,2025-08-16T17:00,Read,Still thinking about this book?,"""Say You'll Remember Me"" by Abby Jimenez"
kindle_recommends,Not Available,2025-08-15T17:00,Read,Hot new releases in Kindle Unlimited,"Previous First Reads selections, now available in Kindle Unlimited."
tips,Not Available,2025-08-15T16:00,Read,Pick up a new achievement!,Complete an eligible series title to earn your Sunny Series achievement.
kindle_recommends,Not Available,2025-08-14T17:00,Read,Coming Soon for You,"A book by an author you follow, ""Wild Card"" by Elsie Silver, is coming out soon."
tips,Not Available,2025-08-14T07:05,Read,Don't lose your reading streak!,The Perfect Week achievement is within reach. See your progress.
kindle_recommends,Not Available,2025-08-13T17:00,Read,Recommended for you,We thought you may like “At the Corner of King Street” by Mary Ellen Taylor.
kindle_recommends,Not Available,2025-08-12T17:00,Read,New Romance,"""The Soldier"" by Susan Stoker."
kindle_recommends,Not Available,2025-08-09T17:00,Read,Amazon Book Review - Editors' picks,Amazon Editors' recommendations for this week.
tips,Not Available,2025-08-09T02:32,Read,You're on a reading streak! ,The Perfect Week achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-08-07T17:00,Read,New First Reads books,"Exclusive books, early access, free with Prime"
kindle_recommends,Not Available,2025-08-07T17:00,Read,Fresh picks are here,New Amazon Originals just added to Kindle Unlimited.
tips,Not Available,2025-08-07T07:05,Read,Don't lose your reading streak!,The Perfect Week achievement is within reach. See your progress.
kindle_recommends,Not Available,2025-08-06T15:00,Read,Limited time,Earn 3x Kindle Points on Kindle books purchased on August 6-7.
kindle_recommends,Not Available,2025-08-01T17:00,Read,New Fiction,"""Who Is the Liar"" by Laura Lee Bahr."
tips,Not Available,2025-08-01T07:05,Read,The Head Start achievement is yours!,"Keep reading to collect more achievements, tap to see."
kindle_recommends,Not Available,2025-08-01T06:00,Read,Recommended for you,We thought you may like “A Captive Situation” by Tijan.
tips,Not Available,2025-07-31T07:05,Read,Don't lose your reading streak!,The Perfect Week achievement is within reach. See your progress.
kindle_recommends,Not Available,2025-07-30T17:00,Read,Best new sci-fi & fantasy,"This month's best new reads, hand-picked by Amazon's Editors."
tips,Not Available,2025-07-30T04:18,Read,You read every day for a month! ,The Perfect Month achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-07-30T03:00,Read,Smart Summer Reads,Poolside picks that make a splash.
kindle_recommends,Not Available,2025-07-27T19:00,Read,Recommended for you,We thought you may like “Michael Without Apology” by Catherine Ryan Hyde.
kindle_recommends,Not Available,2025-07-26T23:00,Read,Listen with Kindle Unlimited,Explore popular audiobooks included with your membership. 
kindle_recommends,Not Available,2025-07-26T17:00,Read,Popular now on Amazon,"Read ""Original Sinner” a romance by Kait Ballenger."
tips,Not Available,2025-07-26T05:12,Read,You're on a reading streak! ,The Perfect Week achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-07-25T17:00,Read,Last Chance,Don’t forget to choose your First Reads book this month.
kindle_recommends,Not Available,2025-07-25T15:00,Read,Today only!,Earn 2x Kindle Points on Kindle books purchased on July 25.
kindle_recommends,Not Available,2025-07-24T08:28,Read,More for you from Meghan Quinn,Read and listen in Kindle Unlimited
tips,Not Available,2025-07-24T07:05,Read,Don't lose your reading streak!,The Perfect Week achievement is within reach. See your progress.
tips,Not Available,2025-07-24T00:05,Read,"Way to go, goal setter! ",You just got closer to reaching your 2025 reading goal. Check your progress now.
kindle_recommends,Not Available,2025-07-23T17:00,Read,"Hot reads, cool prices",Discover Kindle book deals.
kindle_recommends,Not Available,2025-07-22T17:44,Read,New & notable reads,Explore exciting new arrivals in Kindle Unlimited.
kindle_recommends,Not Available,2025-07-22T17:00,Read,What to read next,"After you read ""The Broken Vows: Zane and…,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-07-22T17:00,Read,New Book Club Fiction,"""At the Corner of King Street"" by Mary Ellen Taylor."
your_account,Not Available,2025-07-22T17:00,Read,New for you,"A book you pre-ordered, “Rush Week” by Michelle Brandon, is now available."
kindle_recommends,Not Available,2025-07-21T17:00,Read,What to read next,"After you read ""The Unwanted Marriage: Dion…,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-07-21T17:00,Read,Now in Prime Reading,"Read ""Reminders of Him"" free with Prime for a limited time."
kindle_recommends,Not Available,2025-07-20T17:00,Read,What to read next,"After you read ""The Temporary Wife: Luca and…,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-07-19T17:00,Read,What to read next,"After you read ""The Wrong Bride: Ares and…,"" find a new book in your recommendations."
tips,Not Available,2025-07-19T00:06,Read,You're on a reading streak! ,The Perfect Week achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-07-19T00:05,Read,Limited time,Earn 2x Kindle Points on Kindle books purchased July 18-19. Learn more. 
kindle_recommends,Not Available,2025-07-18T15:00,Read,Limited time,Earn 2x Kindle Points on Kindle books purchased on July 18-19.
tips,Not Available,2025-07-17T04:31,Read,Keep up your reading streak,The Perfect Month achievement is within reach. See your progress.
tips,Not Available,2025-07-17T00:06,Read,Don't lose your reading streak!,The Perfect Week achievement is within reach. See your progress.
tips,Not Available,2025-07-17T00:05,Read,"Way to go, goal setter! ",You just got closer to reaching your 2025 reading goal. Check your progress now.
kindle_recommends,Not Available,2025-07-16T17:00,Read,Trending in First Reads,Early. So VIP. Get this month’s editors’ picks in Amazon First Reads.
kindle_recommends,Not Available,2025-07-15T20:54,Read,New for you,"A book on your Wish List, “Maid for Each Other” by Lynn Painter, was just released."
kindle_recommends,Not Available,2025-07-15T17:55,Read,New & notable reads,Explore exciting new arrivals in Kindle Unlimited.
kindle_recommends,Not Available,2025-07-15T17:00,Read,New Book Club Fiction,"""Counting Down to You"" by  Sarah J. Harris"
tips,Not Available,2025-07-15T01:23,Read,You unlocked a new achievement!,The Bronze Reader achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-07-14T17:00,Read,July new releases,Discover Amazon Original books included in Kindle Unlimited.
kindle_recommends,Not Available,2025-07-12T17:00,unread,New for you in Kindle Unlimited,"A book by an author whose work you've bought before, “Charmed by the Bartender” by Piper Rayne, is available to read with your membership."
kindle_recommends,Not Available,2025-07-12T17:00,Read,Still thinking about this book?,"""The Naturals Collection"" by Jennifer Lynn Barnes"
tips,Not Available,2025-07-12T00:06,Read,You're on a reading streak! ,The Perfect Week achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-07-11T17:00,Read,New Thriller,"""The Good Samaritan"" by John Marrs."
kindle_recommends,Not Available,2025-07-10T17:00,Read,Still thinking about this book?,"""The Love Haters"" by Katherine Center"
tips,Not Available,2025-07-10T00:07,Read,You're so close!,You're on track to collect the Bronze Reader achievement. See your progress.
tips,Not Available,2025-07-10T00:06,Read,Don't lose your reading streak!,The Perfect Week achievement is within reach. See your progress.
kindle_recommends,Not Available,2025-07-09T17:00,Read,What to read next,"After you read ""Power Play: A Grumpy Sunshine…,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-07-09T07:55,Read,Editors' picks in Kindle Unlimited,Find your next favorite read today.
tips,Not Available,2025-07-09T00:05,Read,"Way to go, goal setter! ",You just got closer to reaching your 2025 reading goal. Check your progress now.
kindle_recommends,Not Available,2025-07-08T18:00,Read,New Romance,"""A Vow of Embers"" by Sariah Wilson."
tips,Not Available,2025-07-07T17:00,Read,Your new mystery achievement! ,Read during July 8-11 to collect the Prime Day achievement.
tips,Not Available,2025-07-05T07:05,Read,You're on a reading streak! ,The Perfect Week achievement is yours. Tap to see.
tips,Not Available,2025-07-03T17:00,Read,Your new achievement is live! ,Read one of the Best Books of 2025 So Far to collect the Buzzworthy achievement.
kindle_recommends,Not Available,2025-07-03T17:00,Read,Shop early Prime Day deals,"Save big, save early on top reads starting from $0.99"
kindle_recommends,Not Available,2025-07-02T17:00,Read,Three months ago,"You read ""Goldfinch"" by Raven Kennedy. Discover similar books."
tips,Not Available,2025-07-02T00:13,Read,Another milestone achievement,You collected the July Reader achievement! Tap to see.
tips,Not Available,2025-07-02T00:13,Read,"Way to go, goal setter! ",You just got closer to reaching your 2025 reading goal. Check your progress now.
kindle_recommends,Not Available,2025-07-01T17:00,Read,What to read next,"After you read ""Severed Heart,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-07-01T17:00,Read,New Book Club Fiction,"""Lightning in a Mason Jar"" by Catherine Mann."
kindle_recommends,Not Available,2025-06-30T15:00,Read,Today only! Earn 2x Kindle Points.,Earn 2x Kindle Points on Kindle books purchased on June 30.
tips,Not Available,2025-06-30T00:57,Read,You read every day for a month! ,The Perfect Month achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-06-29T17:00,Read,Three months ago,"You read ""Gold"" by Raven Kennedy. Discover similar books."
tips,Not Available,2025-06-28T00:07,Read,You're on a reading streak! ,The Perfect Week achievement is yours. Tap to see.
tips,Not Available,2025-06-28T00:06,Read,Keep your weekend streak alive! ,Collect the Weekend Warrior achievement when you read both days this weekend.
kindle_recommends,Not Available,2025-06-26T23:00,Read,Listen with Kindle Unlimited,Explore popular audiobooks included with your membership. 
kindle_recommends,Not Available,2025-06-26T17:00,Read,What to read next,"After you read ""It's a Love Story,"" find a new book in your recommendations."
tips,Not Available,2025-06-26T00:06,Read,Don't lose your reading streak!,The Perfect Week achievement is within reach. See your progress.
kindle_recommends,Not Available,2025-06-25T17:00,Read,What to read next,"After you read ""Till Summer Do Us Part,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-06-24T20:54,Read,New for you,"A book on your Wish List, “An American in London” by Louise Bay, was just released."
kindle_recommends,Not Available,2025-06-24T17:00,Read,New Romance,"""An American in London"" by Louise Bay."
kindle_recommends,Not Available,2025-06-23T17:00,Read,Save big on must-reads,Kindle exclusive deals top titles.
kindle_recommends,Not Available,2025-06-23T00:05,Read,Limited time,Earn 2x Kindle Points on Kindle books purchased June 22-23. Learn more. 
kindle_recommends,Not Available,2025-06-22T17:00,Read,Last chance to borrow,Borrow these great reads before they leave.
kindle_recommends,Not Available,2025-06-22T15:00,Read,Limited time,Earn 2x Kindle Points on Kindle books purchased on June 22-23.
kindle_recommends,Not Available,2025-06-21T17:00,Read,What to read next,"After you read ""Daydream,"" find a new book in your recommendations."
tips,Not Available,2025-06-21T00:06,Read,Keep your weekend streak alive! ,Collect the Weekend Warrior achievement when you read both days this weekend.
kindle_recommends,Not Available,2025-06-19T17:00,Read,What to read next,"After you read ""Wildfire,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-06-19T17:00,Read,Enjoy beach-worthy reads,Find new summertime page-turners in Kindle Unlimited.
tips,Not Available,2025-06-19T00:06,Read,Don't lose your reading streak!,The Perfect Week achievement is within reach. See your progress.
tips,Not Available,2025-06-19T00:05,Read,"Way to go, goal setter! ",You just got closer to reaching your 2025 reading goal. Check your progress now.
kindle_recommends,Not Available,2025-06-18T23:00,Read,New for you,"A book by an author whose work you've bought before, “Sounds Like Love” by Ashley Poston, was just released."
kindle_recommends,Not Available,2025-06-17T17:00,Read,What to read next,"After you read ""Not Another Love Song,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-06-17T17:00,Read,New Romance,"""No More Yesterdays"" by Catherine Bybee."
tips,Not Available,2025-06-17T07:05,Read,Keep up your reading streak,The Perfect Month achievement is within reach. See your progress.
kindle_recommends,Not Available,2025-06-16T19:00,Read,New & notable reads,Explore exciting new arrivals in Kindle Unlimited.
kindle_recommends,Not Available,2025-06-16T17:05,unread,Still thinking about this book?,"""Bad Little Bride"" by Meagan Brandy"
kindle_recommends,Not Available,2025-06-16T17:00,Read,What to read next,"After you read ""Tomorrow, and Tomorrow, and…,"" find a new book in your recommendations."
tips,Not Available,2025-06-16T17:00,Read,You're invited to be an Insider!,Follow an author between June 16 and June 30 for the new Insider achievement.
kindle_recommends,Not Available,2025-06-16T17:00,Read,Trending in First Reads,Early. So VIP. Get this month’s editors’ picks in Amazon First Reads.
kindle_recommends,Not Available,2025-06-15T00:42,Read,Limited time,Earn 2x Kindle Points on Kindle books purchased June 14-15. Learn more. 
kindle_recommends,Not Available,2025-06-14T17:00,Read,What to read next,"After you read ""Caught Up: Into Darkness…,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-06-14T15:00,Read,Limited time,Earn 2x Kindle Points on Kindle books purchased on June 14-15.
tips,Not Available,2025-06-14T04:06,Read,Solid gold! ,"You collected the Gold Reader achievement, in the top 10% of Kindle readers. Tap to see."
kindle_recommends,Not Available,2025-06-13T17:00,Read,Reading Challenge Faves,The most-read books by 2025 participants--so far this year
kindle_recommends,Not Available,2025-06-12T17:00,Read,Best fiction of 2025 so far,Editors' favorite fiction from 2025 so far
tips,Not Available,2025-06-12T00:06,Read,Don't lose your reading streak!,The Perfect Week achievement is within reach. See your progress.
tips,Not Available,2025-06-11T00:05,Read,"Way to go, goal setter! ",You just got closer to reaching your 2025 reading goal. Check your progress now.
kindle_recommends,Not Available,2025-06-10T17:00,Read,What to read next,"After you read ""The Perfect Fit,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-06-09T17:05,Read,Still thinking about this book?,"""The Soulmate Equation"" by Christina Lauren"
kindle_recommends,Not Available,2025-06-08T15:00,Read,Editors' picks in Kindle Unlimited,Find your next favorite read today.
kindle_recommends,Not Available,2025-06-07T17:00,Read,June’s Top Books      ,Explore the latest titles that have Goodreads members buzzing
tips,Not Available,2025-06-07T07:05,Read,Keep your weekend streak alive! ,Collect the Weekend Warrior achievement when you read both days this weekend.
tips,Not Available,2025-06-07T00:05,Read,You're on a reading streak! ,The Perfect Week achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-06-06T17:00,Read,What to read next,"After you read “Mr. Heartbreaker,” try the next book in the series “Mr. Broody (The Nest Book 2).”"
kindle_recommends,Not Available,2025-06-06T00:06,Read,Limited time,Earn 2x Kindle Points on Kindle books purchased June 5-7. Learn more. 
kindle_recommends,Not Available,2025-06-05T15:00,Read,Limited time,Earn 2x Kindle Points on Kindle books purchased on June 5-7.
tips,Not Available,2025-06-05T00:06,Read,Don't lose your reading streak!,The Perfect Week achievement is within reach. See your progress.
kindle_recommends,Not Available,2025-06-04T17:00,Read,Books we love this month,New and awesome reads in Kindle Unlimited.
tips,Not Available,2025-06-04T00:05,Read,"Way to go, goal setter! ",You just got closer to reaching your 2025 reading goal. Check your progress now.
tips,Not Available,2025-06-02T00:05,Read,Round of applause,The June Reader achievement is yours! Tap to see.
kindle_recommends,Not Available,2025-06-01T17:00,Read,New Book Club Fiction,"""The Surfacing"" by Claire Ackroyd."
kindle_recommends,Not Available,2025-05-31T17:00,Read,New for you in Kindle Unlimited,"A book by an author whose work you've bought before, “Merciless” by Willow Winters, is available to read with your membership."
tips,Not Available,2025-05-31T02:30,Read,You read every day for a month! ,The Perfect Month achievement is yours. Tap to see.
tips,Not Available,2025-05-31T00:06,Read,You're on a reading streak! ,The Perfect Week achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-05-30T17:05,unread,Still thinking about this book?,"""The Play (Briar U Book 3)"" by Elle Kennedy"
kindle_recommends,Not Available,2025-05-30T17:00,Read,Recommended for you,We thought you may like to know about “The Stopover” by T L Swan.
kindle_recommends,Not Available,2025-05-29T17:00,Read,What to read next,"After you read ""King of Envy,"" find a new book in your recommendations."
tips,Not Available,2025-05-28T22:00,Read,Your Kindle Challenge check-in,New reading achievement available! Collect the Parasol achievement. 
kindle_recommends,Not Available,2025-05-28T17:05,Read,Still thinking about this book?,"""Shield of Sparrows"" by Devney Perry"
kindle_recommends,Not Available,2025-05-27T17:00,Read,What to read next,"After you read ""Rewind It Back,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-05-27T17:00,Read,New Book Club Fiction,"""Letters from Strangers"" by Susan Walter."
kindle_recommends,Not Available,2025-05-26T23:00,Read,Listen with Kindle Unlimited,Explore popular audiobooks included with your membership. 
kindle_recommends,Not Available,2025-05-26T17:05,unread,Still thinking about this book?,"""Shield of Sparrows"" by Devney Perry"
kindle_recommends,Not Available,2025-05-26T17:00,Read,Recommended for you,We thought you may like “Crossroads” by Devney Perry.
tips,Not Available,2025-05-26T00:06,Read,The Smart Start achievement is yours,Nice job! Tap to see your new achievement.
kindle_recommends,Not Available,2025-05-24T17:00,Read,What to read next,"After you read ""First-Time Caller,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-05-24T07:00,Read,Dive into summer reading,"Enjoy thrillers, beach reads, and more in Kindle Unlimited."
tips,Not Available,2025-05-24T00:06,Read,You're on a reading streak! ,The Perfect Week achievement is yours. Tap to see.
